"gbifID" "abstract" "accessRights" "accrualMethod" "accrualPeriodicity" "accrualPolicy" "alternative" "audience" "available" "bibliographicCitation" "conformsTo" "contributor" "coverage" "created" "creator" "date" "dateAccepted" "dateCopyrighted" "dateSubmitted" "description" "educationLevel" "extent" "format" "hasFormat" "hasPart" "hasVersion" "identifier" "instructionalMethod" "isFormatOf" "isPartOf" "isReferencedBy" "isReplacedBy" "isRequiredBy" "isVersionOf" "issued" "language" "license" "mediator" "medium" "modified" "provenance" "publisher" "references" "relation" "replaces" "requires" "rights" "rightsHolder" "source" "spatial" "subject" "tableOfContents" "temporal" "title" "type" "valid" "institutionID" "collectionID" "datasetID" "institutionCode" "collectionCode" "datasetName" "ownerInstitutionCode" "basisOfRecord" "informationWithheld" "dataGeneralizations" "dynamicProperties" "occurrenceID" "catalogNumber" "recordNumber" "recordedBy" "individualCount" "organismQuantity" "organismQuantityType" "sex" "lifeStage" "reproductiveCondition" "behavior" "establishmentMeans" "occurrenceStatus" "preparations" "disposition" "associatedReferences" "associatedSequences" "associatedTaxa" "otherCatalogNumbers" "occurrenceRemarks" "organismID" "organismName" "organismScope" "associatedOccurrences" "associatedOrganisms" "previousIdentifications" "organismRemarks" "materialSampleID" "eventID" "parentEventID" "fieldNumber" "eventDate" "eventTime" "startDayOfYear" "endDayOfYear" "year" "month" "day" "verbatimEventDate" "habitat" "samplingProtocol" "samplingEffort" "sampleSizeValue" "sampleSizeUnit" "fieldNotes" "eventRemarks" "locationID" "higherGeographyID" "higherGeography" "continent" "waterBody" "islandGroup" "island" "countryCode" "stateProvince" "county" "municipality" "locality" "verbatimLocality" "verbatimElevation" "verbatimDepth" "minimumDistanceAboveSurfaceInMeters" "maximumDistanceAboveSurfaceInMeters" "locationAccordingTo" "locationRemarks" "decimalLatitude" "decimalLongitude" "coordinateUncertaintyInMeters" "coordinatePrecision" "pointRadiusSpatialFit" "verbatimCoordinateSystem" "verbatimSRS" "footprintWKT" "footprintSRS" "footprintSpatialFit" "georeferencedBy" "georeferencedDate" "georeferenceProtocol" "georeferenceSources" "georeferenceVerificationStatus" "georeferenceRemarks" "geologicalContextID" "earliestEonOrLowestEonothem" "latestEonOrHighestEonothem" "earliestEraOrLowestErathem" "latestEraOrHighestErathem" "earliestPeriodOrLowestSystem" "latestPeriodOrHighestSystem" "earliestEpochOrLowestSeries" "latestEpochOrHighestSeries" "earliestAgeOrLowestStage" "latestAgeOrHighestStage" "lowestBiostratigraphicZone" "highestBiostratigraphicZone" "lithostratigraphicTerms" "group" "formation" "member" "bed" "identificationID" "identificationQualifier" "typeStatus" "identifiedBy" "dateIdentified" "identificationReferences" "identificationVerificationStatus" "identificationRemarks" "taxonID" "scientificNameID" "acceptedNameUsageID" "parentNameUsageID" "originalNameUsageID" "nameAccordingToID" "namePublishedInID" "taxonConceptID" "scientificName" "acceptedNameUsage" "parentNameUsage" "originalNameUsage" "nameAccordingTo" "namePublishedIn" "namePublishedInYear" "higherClassification" "kingdom" "phylum" "class" "order" "family" "genus" "subgenus" "specificEpithet" "infraspecificEpithet" "taxonRank" "verbatimTaxonRank" "vernacularName" "nomenclaturalCode" "taxonomicStatus" "nomenclaturalStatus" "taxonRemarks" "datasetKey" "publishingCountry" "lastInterpreted" "elevation" "elevationAccuracy" "depth" "depthAccuracy" "distanceAboveSurface" "distanceAboveSurfaceAccuracy" "issue" "mediaType" "hasCoordinate" "hasGeospatialIssues" "taxonKey" "acceptedTaxonKey" "kingdomKey" "phylumKey" "classKey" "orderKey" "familyKey" "genusKey" "subgenusKey" "speciesKey" "species" "genericName" "acceptedScientificName" "typifiedName" "protocol" "lastParsed" "lastCrawled" "repatriated" "coords.x1" "coords.x2" "optional"
"681" 1042450930 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:TRH:B:694710/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2014-10-27T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "TRH" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:TRH:B:694710/1" "694710/1" "" "Kristian Hassel" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "2011-11-17T00:00:00Z" NA NA NA 2011 11 17 "" "Open moist heath" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Sogn og Fjordane" "Flora" "" "Endestadnipa" "" "" "" NA NA NA NA 61.59746 5.60375 1 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Kristian Hassel" "2011-11-17T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Anastrophyllum joergensenii Schiffn." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Anastrophyllaceae" "Anastrophyllum" NA "joergensenii" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "6728c42d-c4b6-4fda-a211-5ad1bb59cda4" "NO" "2018-07-07T16:21:31.226Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 7800507 7800507 6 9 126 381 2292 2689412 NA 7800507 "Anastrophyllum joergensenii" "Anastrophyllum" "Anastrophyllum joergensenii Schiffn." "" "DWC_ARCHIVE" "2016-12-21T00:42:21.994Z" "2018-11-25T14:41:53.926Z" "true" 319828.921020983 6834037.22684861 TRUE
"682" 1042448636 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:TRH:B:671083/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2014-10-27T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "TRH" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:TRH:B:671083/1" "671083/1" "506" "Geir Gaarder" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "2006-09-20T00:00:00Z" NA NA NA 2006 9 20 "" "I fuktig og fattig heipreget furuskog, eksp. N" "" NA NA NA NA "Sammen med bl.a. A. cf. joergensenii og S. ornithopodioides." NA NA "" "" NA NA NA "NO" "Sogn og Fjordane" "Gloppen" "" "Lonene SV-S" "" "" "" NA NA NA NA 61.60352 5.67564 7 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Kristian Hassel" "2007-05-02T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Anastrophyllum donnianum (Hook.) Steph." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Anastrophyllaceae" "Anastrophyllum" NA "donnianum" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "6728c42d-c4b6-4fda-a211-5ad1bb59cda4" "NO" "2018-07-07T16:21:30.881Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 2689413 2689413 6 9 126 381 2292 2689412 NA 2689413 "Anastrophyllum donnianum" "Anastrophyllum" "Anastrophyllum donnianum (Hook.) Steph." "" "DWC_ARCHIVE" "2016-12-21T00:42:10.853Z" "2018-11-25T14:42:09.506Z" "true" 323674.775200883 6834514.80380507 TRUE
"683" 1042447473 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:TRH:B:691717/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2014-10-27T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "TRH" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:TRH:B:691717/1" "691717/1" "" "Hans Haavardsholm Blom" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "2009-07-29T00:00:00Z" NA NA NA 2009 7 29 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Hordaland" "Samnanger" "" "Nordskråningen av Rennesberget" "" "" "" NA NA NA NA 60.43916 5.8852 7 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Hans Haavardsholm Blom" "2009-07-29T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Anastrophyllum donnianum (Hook.) Steph." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Anastrophyllaceae" "Anastrophyllum" NA "donnianum" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "6728c42d-c4b6-4fda-a211-5ad1bb59cda4" "NO" "2018-07-07T16:21:31.452Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 2689413 2689413 6 9 126 381 2292 2689412 NA 2689413 "Anastrophyllum donnianum" "Anastrophyllum" "Anastrophyllum donnianum (Hook.) Steph." "" "DWC_ARCHIVE" "2016-12-06T22:34:58.716Z" "2018-11-25T14:42:29.844Z" "true" 328614.769153855 6704374.71878212 TRUE
"684" 1042446360 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:TRH:B:79184/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2014-10-27T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "TRH" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:TRH:B:79184/1" "79184/1" "" "Ingebrigt Hagen" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1913-05-12T00:00:00Z" NA NA NA 1913 5 12 "" "Ad ripam argillosam rivuli" "" NA NA NA NA "Materialet samlet i perioden 12.-13.05.1913." NA NA "" "" NA NA NA "NO" "Sør-Trøndelag" "Trondheim" "" "Strinden, Selsbak" "" "" "" NA NA NA NA 63.38753 10.37063 707 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Kristian Hassel" "2005-05-18T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Fissidens exilis Hedwig, 1801" NA NA "" NA NA NA "" "Plantae" "Bryophyta" "Bryopsida" "Fissidentales" "Fissidentaceae" "Fissidens" NA "exilis" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "6728c42d-c4b6-4fda-a211-5ad1bb59cda4" "NO" "2018-07-07T16:24:42.235Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 5283214 5283214 6 35 327 1336 4643 2673216 NA 5283214 "Fissidens exilis" "Fissidens" "Fissidens exilis Hedwig, 1801" "" "DWC_ARCHIVE" "2016-12-21T00:42:09.241Z" "2018-11-25T14:42:27.212Z" "true" 568500.083919553 7029500.43869885 TRUE
"685" 1042445783 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:TRH:B:164447/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2014-10-27T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "TRH" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:TRH:B:164447/1" "164447/1" "" "H. Holmgren" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1868-08-14T00:00:00Z" NA NA NA 1868 8 14 "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Sør-Trøndelag" "Oppdal" "" "Kongsvold" "" "" "" NA NA NA NA 62.30674 9.60753 707 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Kristian Hassel" "2004-11-29T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Tortula laureri Lindberg, 1864" NA NA "" NA NA NA "" "Plantae" "Bryophyta" "Bryopsida" "Pottiales" "Pottiaceae" "Tortula" NA "laureri" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "6728c42d-c4b6-4fda-a211-5ad1bb59cda4" "NO" "2018-07-07T16:30:05.073Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 5280585 5280585 6 35 327 621 4671 9549878 NA 5280585 "Tortula laureri" "Tortula" "Tortula laureri Lindberg, 1864" "" "DWC_ARCHIVE" "2016-12-06T22:33:40.195Z" "2018-11-25T14:41:44.573Z" "true" 531500.057780242 6908499.92816394 TRUE
"686" 1042445734 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:TRH:B:690346/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2014-10-27T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "TRH" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:TRH:B:690346/1" "690346/1" "" "Kristian Hassel" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "2008-11-06T00:00:00Z" NA NA NA 2008 11 6 "" "Gråor-heggeskog" "" NA NA NA NA "Lok. 1131" NA NA "" "" NA NA NA "NO" "Sør-Trøndelag" "Trondheim" "" "Mule" "" "" "" NA NA NA NA 63.34495 10.16317 1 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Kristian Hassel" "2008-11-06T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Fissidens exilis Hedwig, 1801" NA NA "" NA NA NA "" "Plantae" "Bryophyta" "Bryopsida" "Fissidentales" "Fissidentaceae" "Fissidens" NA "exilis" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "6728c42d-c4b6-4fda-a211-5ad1bb59cda4" "NO" "2018-07-07T16:24:42.268Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 5283214 5283214 6 35 327 1336 4643 2673216 NA 5283214 "Fissidens exilis" "Fissidens" "Fissidens exilis Hedwig, 1801" "" "DWC_ARCHIVE" "2016-12-21T00:43:22.958Z" "2018-11-25T14:41:49.641Z" "true" 558218.865242475 7024551.65265066 TRUE
"687" 1042445411 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:TRH:B:690099/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2014-10-27T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "TRH" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:TRH:B:690099/1" "690099/1" "" "Kristian Hassel, Terje Blindheim" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "2005-10-11T00:00:00Z" NA NA NA 2005 10 11 "" "Clay soil by the river" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Akershus" "Bærum" "" "Øverlandselva" "" "" "" NA NA NA NA 59.90851 10.56004 71 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Kristian Hassel" "2005-10-11T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Fissidens exilis Hedwig, 1801" NA NA "" NA NA NA "" "Plantae" "Bryophyta" "Bryopsida" "Fissidentales" "Fissidentaceae" "Fissidens" NA "exilis" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "6728c42d-c4b6-4fda-a211-5ad1bb59cda4" "NO" "2018-07-07T16:24:42.312Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 5283214 5283214 6 35 327 1336 4643 2673216 NA 5283214 "Fissidens exilis" "Fissidens" "Fissidens exilis Hedwig, 1801" "" "DWC_ARCHIVE" "2016-12-21T00:42:15.726Z" "2018-11-25T14:42:10.669Z" "true" 587250.202006708 6642250.05424243 TRUE
"688" 1042444850 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:TRH:B:771730/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2014-10-27T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "TRH" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:TRH:B:771730/1" "771730/1" "OOL-M12.17" "Oddvar Olsen, Karl Johan Grimstad" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "2012-03-30T00:00:00Z" NA NA NA 2012 3 30 "" "I bratt, nordvestvendt berg" "" NA NA NA NA "Nytt sted for Herbertus stramineus litt lenger vest for tidligere funn i Morkadalen." NA NA "" "" NA NA NA "NO" "Sogn og Fjordane" "Selje" "" "Ved Ervikvatnet" "" "" "" NA NA NA NA 62.15614 5.13939 1 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Kristian Hassel" "2012-05-08T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Herbertus stramineus (Dumort.) Trevis." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Herbertaceae" "Herbertus" NA "stramineus" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "6728c42d-c4b6-4fda-a211-5ad1bb59cda4" "NO" "2018-07-07T16:25:08.871Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 4276928 4276928 6 9 126 381 2282 2689385 NA 4276928 "Herbertus stramineus" "Herbertus" "Herbertus stramineus (Dumort.) Trevis." "" "DWC_ARCHIVE" "2016-12-21T00:43:16.851Z" "2018-11-25T14:42:22.257Z" "true" 298913.160269692 6897568.06648966 TRUE
"689" 1042443819 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:TRH:B:4193/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2017-01-11T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "TRH" "B" "Artsprosjekt_61-12_Liverworts of western Norway" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:TRH:B:4193/1" "4193/1" "" "Kristian Hassel" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "2014-06-17T00:00:00Z" NA NA NA 2014 6 17 "" "Calluna heath" "" NA NA NA NA "Artsprosjekt 2013-15" NA NA "" "" NA NA NA "NO" "Sogn og Fjordane" "Flora" "" "Grøndalen" "" "" "" NA NA NA NA 61.69643 5.59514 1 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Kristian Hassel" "2014-06-17T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Anastrophyllum donnianum (Hook.) Steph." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Anastrophyllaceae" "Anastrophyllum" NA "donnianum" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "6728c42d-c4b6-4fda-a211-5ad1bb59cda4" "NO" "2018-07-07T16:21:31.054Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 2689413 2689413 6 9 126 381 2292 2689412 NA 2689413 "Anastrophyllum donnianum" "Anastrophyllum" "Anastrophyllum donnianum (Hook.) Steph." "" "DWC_ARCHIVE" "2017-01-31T01:35:49.850Z" "2018-11-25T14:42:07.395Z" "true" 319949.140166496 6845075.17867608 TRUE
"690" 1042443243 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:TRH:B:79182/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2014-10-27T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "TRH" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:TRH:B:79182/1" "79182/1" "" "Ingebrigt Hagen" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1913-05-12T00:00:00Z" NA NA NA 1913 5 12 "" "Ad ripam argillosam rivuli" "" NA NA NA NA "Materialet samlet i perioden 12.-13.05.1913." NA NA "" "" NA NA NA "NO" "Sør-Trøndelag" "Trondheim" "" "Strinden, Selsbak" "" "" "" NA NA NA NA 63.38753 10.37063 707 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Kristian Hassel" "2005-05-18T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Fissidens exilis Hedwig, 1801" NA NA "" NA NA NA "" "Plantae" "Bryophyta" "Bryopsida" "Fissidentales" "Fissidentaceae" "Fissidens" NA "exilis" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "6728c42d-c4b6-4fda-a211-5ad1bb59cda4" "NO" "2018-07-07T16:24:42.235Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 5283214 5283214 6 35 327 1336 4643 2673216 NA 5283214 "Fissidens exilis" "Fissidens" "Fissidens exilis Hedwig, 1801" "" "DWC_ARCHIVE" "2016-12-21T00:42:47.875Z" "2018-11-25T14:42:09.047Z" "true" 568500.083919553 7029500.43869885 TRUE
"691" 1042440862 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:TRH:B:164572/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2014-10-27T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "TRH" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:TRH:B:164572/1" "164572/1" "" "Nils Bryhn" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1902-10-01T00:00:00Z" NA NA NA 1902 10 NA "" "" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Buskerud" "Ringerike" "" "Skjerdalen, Bruget" "" "" "" NA NA NA NA 60.08597 10.1055 707 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Kristian Hassel" "2004-08-17T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Fissidens exilis Hedwig, 1801" NA NA "" NA NA NA "" "Plantae" "Bryophyta" "Bryopsida" "Fissidentales" "Fissidentaceae" "Fissidens" NA "exilis" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "6728c42d-c4b6-4fda-a211-5ad1bb59cda4" "NO" "2018-09-23T02:50:31.574Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 5283214 5283214 6 35 327 1336 4643 2673216 NA 5283214 "Fissidens exilis" "Fissidens" "Fissidens exilis Hedwig, 1801" "" "DWC_ARCHIVE" "2018-09-23T02:50:31.532Z" "2018-11-25T14:41:44.499Z" "true" 561500.257487203 6661499.82786673 TRUE
"692" 1042440442 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:TRH:B:7449/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2014-10-27T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "TRH" "B" "" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:TRH:B:7449/1" "7449/1" "" "Kristian Hassel" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "1999-05-15T00:00:00Z" NA NA NA 1999 5 15 "" "Bar leirjord i underkant av stubbe ved turstien" "" NA NA NA NA "" NA NA "" "" NA NA NA "NO" "Sør-Trøndelag" "Trondheim" "" "Nidelva, Ø for Kroppan bru. 3 m Nord for den 1. broa på stien fra Nedre Leirfoss ved 'Renna' laksvall" "" "" "" NA NA NA NA 63.39224 10.39387 71 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Kristian Hassel" "1999-05-15T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Fissidens exilis Hedwig, 1801" NA NA "" NA NA NA "" "Plantae" "Bryophyta" "Bryopsida" "Fissidentales" "Fissidentaceae" "Fissidens" NA "exilis" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "6728c42d-c4b6-4fda-a211-5ad1bb59cda4" "NO" "2018-07-07T16:24:42.288Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 5283214 5283214 6 35 327 1336 4643 2673216 NA 5283214 "Fissidens exilis" "Fissidens" "Fissidens exilis Hedwig, 1801" "" "DWC_ARCHIVE" "2016-12-21T00:42:45.550Z" "2018-11-25T14:42:16.967Z" "true" 569650.000146956 7030050.20274598 TRUE
"693" 1042439536 NA "" NA NA NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA "urn:catalog:TRH:B:4244/1" NA NA NA NA NA NA NA NA "" "CC_BY_4_0" NA NA "2017-01-11T00:00:00Z" NA NA "" NA NA NA NA "" NA NA NA NA NA NA "" NA "" "" "" "TRH" "B" "Artsprosjekt_61-12_Liverworts of western Norway" "" "PRESERVED_SPECIMEN" NA NA "" "urn:catalog:TRH:B:4244/1" "4244/1" "" "Kristian Hassel" NA NA NA NA NA NA NA NA NA "" NA NA "" NA "" "" "" NA NA NA NA NA NA NA NA NA "" "2014-06-19T00:00:00Z" NA NA NA 2014 6 19 "" "Small cushion on boulder in stream" "" NA NA NA NA "Artsprosjekt 2013-15" NA NA "" "" NA NA NA "NO" "Sogn og Fjordane" "Bremanger" "" "Skudalsvatnet" "" "" "" NA NA NA NA 61.74969 5.02845 1 NA NA "" "" NA NA NA NA NA NA NA NA "" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "" "" "Kristian Hassel" "2014-06-19T00:00:00Z" NA "" NA NA NA NA NA NA NA NA NA "Herbertus stramineus (Dumort.) Trevis." NA NA "" NA NA NA "" "Plantae" "Marchantiophyta" "Jungermanniopsida" "Jungermanniales" "Herbertaceae" "Herbertus" NA "stramineus" NA "SPECIES" NA NA "" "ACCEPTED" NA "" "6728c42d-c4b6-4fda-a211-5ad1bb59cda4" "NO" "2018-07-07T16:25:08.960Z" NA NA NA NA NA NA "GEODETIC_DATUM_ASSUMED_WGS84" "" "true" "false" 4276928 4276928 6 9 126 381 2282 2689385 NA 4276928 "Herbertus stramineus" "Herbertus" "Herbertus stramineus (Dumort.) Trevis." "" "DWC_ARCHIVE" "2017-01-31T01:35:55.697Z" "2018-11-25T14:41:40.416Z" "true" 290369.108146663 6852699.64549705 TRUE
