"","variables","corTest","AUCtest","species","method","repid"
"roe_deer201514","roe_deer2015",0.1439,0.0498,"Ajuga_reptans","rf",5
"red_deer201514","red_deer2015",0.0963,0.0364,"Ajuga_reptans","rf",5
"moose201514","moose2015",0.2263,0.021,"Ajuga_reptans","rf",5
"bio10_1614","bio10_16",0.2562,0.1778,"Ajuga_reptans","rf",5
"bio12_1614","bio12_16",0.0427,0.006,"Ajuga_reptans","rf",5
"Forest_Type14","Forest_Type",0.0037,0.004,"Ajuga_reptans","rf",5
"Forest_Productivity14","Forest_Productivity",0.056,0.0078,"Ajuga_reptans","rf",5
"SoilpH14","SoilpH",0.0686,0.013,"Ajuga_reptans","rf",5
"roe_deer201515","roe_deer2015",0.018,0.0066,"Ajuga_reptans","brt",1
"red_deer201515","red_deer2015",0.0028,0.0042,"Ajuga_reptans","brt",1
"moose201515","moose2015",0.0037,0.0308,"Ajuga_reptans","brt",1
"bio10_1615","bio10_16",0.815,0.319,"Ajuga_reptans","brt",1
"bio12_1615","bio12_16",2e-04,8e-04,"Ajuga_reptans","brt",1
"Forest_Type15","Forest_Type",0,0,"Ajuga_reptans","brt",1
"Forest_Productivity15","Forest_Productivity",0.1442,0.1672,"Ajuga_reptans","brt",1
"SoilpH15","SoilpH",0,0,"Ajuga_reptans","brt",1
"roe_deer201516","roe_deer2015",0.0432,0.0408,"Ajuga_reptans","brt",2
"red_deer201516","red_deer2015",0.0024,0.0022,"Ajuga_reptans","brt",2
"moose201516","moose2015",0.0016,0.039,"Ajuga_reptans","brt",2
"bio10_1616","bio10_16",0.5365,0.3752,"Ajuga_reptans","brt",2
"bio12_1616","bio12_16",0,0.001,"Ajuga_reptans","brt",2
"Forest_Type16","Forest_Type",0,0,"Ajuga_reptans","brt",2
"Forest_Productivity16","Forest_Productivity",0.2281,0.0202,"Ajuga_reptans","brt",2
"SoilpH16","SoilpH",0,0,"Ajuga_reptans","brt",2
"roe_deer201517","roe_deer2015",0.0463,0.0754,"Ajuga_reptans","brt",3
"red_deer201517","red_deer2015",5e-04,0.0034,"Ajuga_reptans","brt",3
"moose201517","moose2015",0.0137,0.1224,"Ajuga_reptans","brt",3
"bio10_1617","bio10_16",0.8324,0.1734,"Ajuga_reptans","brt",3
"bio12_1617","bio12_16",0,0.0102,"Ajuga_reptans","brt",3
"Forest_Type17","Forest_Type",0,0,"Ajuga_reptans","brt",3
"Forest_Productivity17","Forest_Productivity",0.0103,0.1822,"Ajuga_reptans","brt",3
"SoilpH17","SoilpH",0,0,"Ajuga_reptans","brt",3
"roe_deer201518","roe_deer2015",0.0048,0.003,"Ajuga_reptans","brt",4
"red_deer201518","red_deer2015",6e-04,4e-04,"Ajuga_reptans","brt",4
"moose201518","moose2015",0.0147,0.0272,"Ajuga_reptans","brt",4
"bio10_1618","bio10_16",0.8718,0.2556,"Ajuga_reptans","brt",4
"bio12_1618","bio12_16",0,4e-04,"Ajuga_reptans","brt",4
"Forest_Type18","Forest_Type",0,0,"Ajuga_reptans","brt",4
"Forest_Productivity18","Forest_Productivity",0.0337,0.068,"Ajuga_reptans","brt",4
"SoilpH18","SoilpH",0,0,"Ajuga_reptans","brt",4
"roe_deer201519","roe_deer2015",0.0506,0.0158,"Ajuga_reptans","brt",5
"red_deer201519","red_deer2015",6e-04,0.0054,"Ajuga_reptans","brt",5
"moose201519","moose2015",0.0223,0.0256,"Ajuga_reptans","brt",5
"bio10_1619","bio10_16",0.5433,0.4012,"Ajuga_reptans","brt",5
"bio12_1619","bio12_16",3e-04,0.0036,"Ajuga_reptans","brt",5
"Forest_Type19","Forest_Type",0,0,"Ajuga_reptans","brt",5
"Forest_Productivity19","Forest_Productivity",0.2418,0.0088,"Ajuga_reptans","brt",5
"SoilpH19","SoilpH",0,0.0012,"Ajuga_reptans","brt",5
"roe_deer201520","roe_deer2015",0.4308,0.0498,"Ajuga_reptans","mda",1
"red_deer201520","red_deer2015",0.1287,0.0164,"Ajuga_reptans","mda",1
"moose201520","moose2015",0.1091,0.0112,"Ajuga_reptans","mda",1
"bio10_1620","bio10_16",0.1419,0.177,"Ajuga_reptans","mda",1
"bio12_1620","bio12_16",0.2656,0.1832,"Ajuga_reptans","mda",1
"Forest_Type20","Forest_Type",0.0238,0.0172,"Ajuga_reptans","mda",1
"Forest_Productivity20","Forest_Productivity",0.2412,0.2002,"Ajuga_reptans","mda",1
"SoilpH20","SoilpH",0.0637,0.0526,"Ajuga_reptans","mda",1
"roe_deer201521","roe_deer2015",0.1903,0.0278,"Ajuga_reptans","mda",2
"red_deer201521","red_deer2015",0.3732,0.0128,"Ajuga_reptans","mda",2
"moose201521","moose2015",0.0186,0.0426,"Ajuga_reptans","mda",2
"bio10_1621","bio10_16",0.0982,0.1868,"Ajuga_reptans","mda",2
"bio12_1621","bio12_16",0.252,0.0792,"Ajuga_reptans","mda",2
"Forest_Type21","Forest_Type",0.043,0.034,"Ajuga_reptans","mda",2
"Forest_Productivity21","Forest_Productivity",0.1835,0.2162,"Ajuga_reptans","mda",2
"SoilpH21","SoilpH",0.118,0.1102,"Ajuga_reptans","mda",2
"roe_deer201522","roe_deer2015",0.2647,0.0484,"Ajuga_reptans","mda",3
"red_deer201522","red_deer2015",0.0333,0.0428,"Ajuga_reptans","mda",3
"moose201522","moose2015",0.0884,0.0866,"Ajuga_reptans","mda",3
"bio10_1622","bio10_16",0.2848,0.0606,"Ajuga_reptans","mda",3
"bio12_1622","bio12_16",0.169,0.0706,"Ajuga_reptans","mda",3
"Forest_Type22","Forest_Type",0.0454,0.0706,"Ajuga_reptans","mda",3
"Forest_Productivity22","Forest_Productivity",0.1319,0.1902,"Ajuga_reptans","mda",3
"SoilpH22","SoilpH",0.1247,0.0166,"Ajuga_reptans","mda",3
"roe_deer201523","roe_deer2015",0.2394,0.2022,"Ajuga_reptans","mda",4
"red_deer201523","red_deer2015",0.128,0.0522,"Ajuga_reptans","mda",4
"moose201523","moose2015",0.0976,0.0506,"Ajuga_reptans","mda",4
"bio10_1623","bio10_16",0.3452,0.2264,"Ajuga_reptans","mda",4
"bio12_1623","bio12_16",0.2453,0.104,"Ajuga_reptans","mda",4
"Forest_Type23","Forest_Type",0.0321,0.0042,"Ajuga_reptans","mda",4
"Forest_Productivity23","Forest_Productivity",0.3073,0.1822,"Ajuga_reptans","mda",4
"SoilpH23","SoilpH",0.1916,0.086,"Ajuga_reptans","mda",4
"roe_deer201524","roe_deer2015",0.0915,0.0554,"Ajuga_reptans","mda",5
"red_deer201524","red_deer2015",0.3408,0.0098,"Ajuga_reptans","mda",5
"moose201524","moose2015",0.0454,0.0342,"Ajuga_reptans","mda",5
"bio10_1624","bio10_16",0.2086,0.3178,"Ajuga_reptans","mda",5
"bio12_1624","bio12_16",0.2695,0.1042,"Ajuga_reptans","mda",5
"Forest_Type24","Forest_Type",0.0363,0.0056,"Ajuga_reptans","mda",5
"Forest_Productivity24","Forest_Productivity",0.3081,0.0624,"Ajuga_reptans","mda",5
"SoilpH24","SoilpH",0.0467,0.014,"Ajuga_reptans","mda",5
"roe_deer201525","roe_deer2015",0.1129,0.0194,"Ajuga_reptans","fda",1
"red_deer201525","red_deer2015",0.0071,0.0032,"Ajuga_reptans","fda",1
"moose201525","moose2015",0.1618,0.0186,"Ajuga_reptans","fda",1
"bio10_1625","bio10_16",0.3273,0.3112,"Ajuga_reptans","fda",1
"bio12_1625","bio12_16",0.0159,0.0206,"Ajuga_reptans","fda",1
"Forest_Type25","Forest_Type",0.0169,0.0162,"Ajuga_reptans","fda",1
"Forest_Productivity25","Forest_Productivity",0.3576,0.1238,"Ajuga_reptans","fda",1
"SoilpH25","SoilpH",2e-04,0.0014,"Ajuga_reptans","fda",1
"roe_deer201526","roe_deer2015",0.049,0.0332,"Ajuga_reptans","fda",2
"red_deer201526","red_deer2015",0.0311,0.0024,"Ajuga_reptans","fda",2
